Name,Nationality,Overall,Position,Club
J. Bellingham,England,90,CAM,Real Madrid
F. Valverde,Uruguay,89,CM,Real Madrid
J. Kimmich,Germany,89,CDM,FC Bayern München
A. Hakimi,Morocco,89,RB,Paris Saint-Germain
N. Barella,Italy,87,CM,Inter
H. Çalhanoğlu,Turkey,86,CDM,Inter
F. Dimarco,Italy,85,LB,Inter
A. Mac Allister,Argentina,87,CM,Liverpool
Rodri,Spain,90,CDM,Manchester City
A. Griezmann,France,85,ST,Atlético Madrid
T. Hernández,France,84,LB,Al Hilal
Bruno Fernandes,Portugal,87,CAM,Manchester United
J. Alvarez,Argentina,87,ST,Atlético Madrid
T. Alexander-Arnold,England,86,RB,Real Madrid
Sancet,Spain,84,CAM,Athletic Club
A. Rabiot,France,83,CAM,AC Milan
R. De Paul,Argentina,84,CM,Inter Miami
S. Tonali,Italy,86,CDM,Newcastle United
Marcos Llorente,Spain,84,RB,Atlético Madrid
L. Goretzka,Germany,82,CM,FC Bayern München
Vitinha,Portugal,89,CM,Paris Saint-Germain
M. Salah,Egypt,91,RM,Liverpool
M. Sabitzer,Austria,80,CDM,Borussia Dortmund
D. Rice,England,87,CDM,Arsenal
João Cancelo,Portugal,84,RB,Al Hilal
F. de Jong,Netherlands,87,CM,FC Barcelona
T. Reijnders,Netherlands,86,CM,Manchester City
D. Szoboszlai,Hungary,83,CAM,Liverpool
Raphinha,Brazil,89,LM,FC Barcelona
B. Saka,England,88,RW,Arsenal
S. Milinković-Savić,Serbia,84,CM,Al Hilal
Pedri,Spain,89,CM,FC Barcelona
Bruno Guimarães,Brazil,86,CM,Newcastle United
O. Dembélé,France,90,ST,Paris Saint-Germain
João Neves,Portugal,85,CM,Paris Saint-Germain
R. Gravenberch,Netherlands,85,CDM,Liverpool
L. Martínez,Argentina,88,ST,Inter
H. Mkhitaryan,Armenia,83,CM,Inter
K. De Bruyne,Belgium,87,CM,Napoli
T. Koopmeiners,Netherlands,81,CAM,Juventus
K. Kvaratskhelia,Georgia,87,LW,Paris Saint-Germain
Grimaldo,Spain,84,LM,Bayer 04 Leverkusen
R. James,England,81,RB,Chelsea
F. Kostić,Serbia,81,LM,Juventus
C. Gallagher,England,81,CM,Atlético Madrid
Mikel Merino,Spain,83,CM,Arsenal
E. Fernández,Argentina,84,CM,Chelsea
Fred,Brazil,80,CM,Fenerbahçe SK
D. Alaba,Austria,82,CB,Real Madrid
I. Bennacer,Algeria,80,CDM,Dinamo Zagreb
B. Yılmaz,Turkey,80,LM,Galatasaray SK
Pedro Porro,Spain,82,RB,Tottenham Hotspur
K. Mbappé,France,91,ST,Real Madrid
M. Ødegaard,Norway,87,CM,Arsenal
Otávio,Portugal,82,CAM,Al Qadsiah FC
O. Kökçü,Turkey,82,CM,Beşiktaş JK
M. Acuña,Argentina,78,LB,River Plate
S. McTominay,Scotland,85,CM,Napoli
H. Kane,England,89,ST,FC Bayern München
E. Camavinga,France,83,CM,Real Madrid
Rúben Neves,Portugal,84,CDM,Al Hilal
F. Nmecha,Germany,82,CDM,Borussia Dortmund
Carlos Augusto,Brazil,81,LB,Inter
J. McGinn,Scotland,81,LM,Aston Villa
Berenguer,Spain,82,LM,Athletic Club
E. Can,Germany,82,CB,Borussia Dortmund
